Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-178,0,0,0,0,84,0
-175,0,0,0,0,168,0
-174,12,0,0,0,12,0
-172,0,0,0,0,264,0
-171,24,0,0,0,24,0
-169,0,0,0,0,396,0
-168,48,0,0,0,48,0
-166,0,0,0,0,564,0
-165,102,0,0,0,102,81
-164,0,0,0,0,0,30
-163,0,0,0,0,792,36
-162,156,0,0,0,156,12
-161,0,12,0,0,0,84
-160,0,3,0,0,2457,30
-159,582,0,0,0,594,105
-158,0,12,0,0,0,93
-157,0,3,0,0,2517,36
-156,1338,6,0,0,1362,63
-155,0,36,0,0,0,180
-154,0,6,0,0,3120,180
-153,1686,6,0,0,1728,111
-152,0,39,0,0,0,381
-151,0,18,0,0,4287,357
-150,2166,198,0,0,2241,555
-149,0,141,0,0,0,552
-148,0,117,0,0,6819,723
-147,3522,249,0,0,3651,891
-146,0,369,0,0,0,1032
-145,0,183,0,0,9261,948
-144,5001,297,0,0,5427,1071
-143,0,507,0,0,0,1116
-142,0,330,0,0,11412,1005
-141,6777,456,0,0,7266,1374
-140,0,771,0,0,0,1707
-139,0,468,0,0,12093,1401
-138,7872,636,0,0,9042,1962
-137,3,777,0,0,3,2127
-136,0,783,0,0,22662,2169
-135,10356,831,0,0,11637,2496
-134,3,969,0,0,3,2637
-133,0,1035,0,0,24096,2724
-132,12759,1197,0,0,14661,3525
-131,9,1374,0,0,9,3849
-130,0,1389,0,0,24492,4491
-129,14898,1491,0,0,17580,4815
-128,36,1866,0,0,36,5277
-127,0,1728,0,0,51783,4740
-126,17055,2007,0,0,21591,5436
-125,162,2163,0,0,165,5778
-124,0,2061,0,0,41781,6315
-123,23778,2205,0,0,29328,6198
-122,210,2424,0,0,213,6747
-121,0,2490,0,0,56325,7146
-120,32238,2490,0,0,39054,7263
-119,318,2706,0,0,399,7938
-118,0,2772,0,0,99591,8253
-117,38388,2757,0,0,47046,8766
-116,687,3270,0,0,747,8979
-115,36,3639,0,0,125859,9852
-114,64614,3528,0,0,76350,10125
-113,1314,3921,0,0,1386,11490
-112,0,4311,0,0,118767,12492
-111,77838,4281,0,0,92658,12636
-110,2205,4920,0,0,2493,13203
-109,0,5187,0,0,165501,15120
-108,82851,5670,0,0,106710,16059
-107,3552,5829,0,0,3744,17103
-106,75,6354,0,0,210525,17904
-105,123372,7029,0,0,155160,19887
-104,5880,7641,0,0,6189,22299
-103,0,8295,0,0,229014,25956
-102,148071,8613,0,0,189039,28905
-101,8775,10713,0,0,9717,33021
-100,18,11406,0,0,267720,36042
-99,154272,12459,0,0,218961,41439
-98,11076,16368,0,0,12003,49524
-97,42,18924,0,0,316695,58350
-96,203517,21393,0,0,293760,64248
-95,13362,23991,0,0,15309,69438
-94,36,26889,0,0,373191,76290
-93,234750,31269,0,0,351369,85596
-92,28332,35220,0,0,30600,93948
-91,51,37623,0,0,467970,102945
-90,269061,37770,0,0,469116,107760
-89,31545,40296,0,0,34356,117081
-88,132,43458,0,0,450522,128196
-87,265977,46731,0,0,465108,137757
-86,35925,50337,0,0,40038,149400
-85,180,53889,0,0,489597,165852
-84,282990,58509,0,0,523842,179499
-83,47505,62454,0,0,53772,193281
-82,495,68991,0,0,507594,204678
-81,282900,71994,0,0,556590,216750
-80,69111,73311,0,0,79554,228261
-79,1593,76089,0,0,563526,238230
-78,326757,79554,0,0,656139,248349
-77,116793,83838,0,0,130638,264069
-76,2202,92349,0,0,591159,279252
-75,306783,100596,0,0,723063,293202
-74,186165,97605,0,0,208452,300477
-73,2982,99342,0,0,606831,323163
-72,326121,103674,0,0,829224,336849
-71,294915,104820,0,0,333918,339438
-70,3618,108414,0,0,620361,352491
-69,356913,122388,0,0,1004187,390378
-68,318321,138723,0,0,389163,425094
-67,5304,138867,0,0,575865,446322
-66,344436,148092,0,0,934770,489612
-65,395628,166161,0,0,504093,528303
-64,14943,180447,0,0,613230,557478
-63,378399,192264,0,0,1131423,583077
-62,453798,205947,0,0,538974,628998
-61,12885,218400,0,0,941418,677715
-60,330441,240651,0,0,1220388,729156
-59,540936,255264,0,0,659439,781155
-58,46074,265803,0,0,698466,813738
-57,358866,298770,0,0,1301595,865818
-56,587853,309234,0,0,794730,903309
-55,89754,314787,0,0,860829,942183
-54,298389,326877,0,0,1371666,988101
-53,692658,354390,0,0,991476,1046337
-52,145467,366783,0,0,975309,1074720
-51,359190,383301,0,0,1585632,1119945
-50,747528,396165,0,0,1111602,1174449
-49,142605,413814,0,0,896286,1213488
-48,262842,431982,0,0,1662471,1269408
-47,810963,434265,0,0,1311291,1290603
-46,202857,449847,0,0,787101,1347300
-45,186078,474096,0,0,1633791,1405005
-44,846027,486921,0,0,1343091,1448997
-43,219117,509061,0,0,655911,1514769
-42,227688,559743,0,0,1576836,1600359
-41,932241,549003,0,0,1462794,1659402
-40,237945,566529,0,0,694347,1714584
-39,113133,616893,0,0,1418820,1807947
-38,1018482,678933,0,0,1611414,1865946
-37,296634,659295,0,0,969381,1867089
-36,130290,711621,0,0,1489104,1849539
-35,868899,708702,0,0,1625529,1808355
-34,920412,693801,0,0,1389717,1787106
-33,57333,706251,0,0,1327812,1780251
-32,755322,686922,0,0,1629903,1790799
-31,544842,665757,0,0,925962,1785267
-30,90099,673098,0,0,1215132,1761219
-29,734307,667044,0,0,1688046,1741746
-28,1096275,649662,0,0,1700859,1738041
-27,31431,662145,0,0,1240908,1777068
-26,599790,633579,0,0,2397636,1774752
-25,1859094,592914,0,0,2400498,1769724
-24,51321,595284,0,0,1038429,1791864
-23,597441,615051,0,0,2962389,1819239
-22,2388867,583551,0,0,3042138,1822125
-21,75330,584958,0,0,886161,1862043
-20,467244,631161,0,0,3578850,1922103
-19,3314592,627879,0,0,3979572,1960797
-18,91914,657645,0,0,902151,2056359
-17,462648,726348,0,0,4809561,2186010
-16,4190997,759864,0,0,4886916,2314245
-15,95217,806634,0,0,1188438,2474283
-14,454269,900267,0,0,5481471,2692656
-13,4980657,981852,0,0,5590050,2921793
-12,118272,1110030,0,0,1036623,3196956
-11,351150,1239717,0,0,6271506,3511380
-10,5359590,1390026,0,0,6034335,3899736
-9,190638,1643598,0,0,765459,4406577
-8,306972,1905132,0,0,6325383,4893570
-7,6452304,2246994,0,0,7220658,5626449
-6,117381,2708346,0,0,561981,6533577
-5,240522,3455157,0,0,7541505,7713000
-4,11141406,4592988,0,0,12218112,9469635
-3,141333,5533764,0,0,646242,11656428
-2,181686,9630843,0,0,10232502,17933748
-1,45970230,26103864,0,0,49168695,34367625
0,0,9988485,528,528,4484280,27569598
1,0,2834841,21,21,49168674,34367604
2,0,1384476,9,9,10232493,17933739
3,0,915378,18,30,646224,11656398
4,0,663948,12,36,12218100,9469599
5,0,518106,18,18,7541487,7712982
6,0,419451,21,24,561960,6533553
7,0,352086,21,42,7220637,5626407
8,0,304665,15,33,6325368,4893537
9,0,272457,21,6,765438,4406571
10,0,240741,30,24,6034305,3899712
11,0,219729,30,39,6271476,3511341
12,0,197193,27,33,1036596,3196923
13,0,178632,21,21,5590029,2921772
14,0,162720,30,27,5481441,2692629
15,0,146283,45,42,1188393,2474241
16,0,128772,27,36,4886889,2314209
17,0,111219,27,30,4809534,2185980
18,0,97815,42,33,902109,2056326
19,0,87366,42,48,3979530,1960749
20,0,82620,33,51,3578817,1922052
21,0,75120,36,33,886125,1862010
22,0,70377,48,42,3042090,1822083
23,0,63966,51,48,2962338,1819191
24,0,52320,33,39,1038396,1791825
25,0,41523,30,36,2400468,1769688
26,0,34782,48,48,2397588,1774704
27,0,24936,51,39,1240857,1777029
28,0,19614,30,39,1700829,1738002
29,0,13425,24,51,1688022,1741695
30,0,11466,57,42,1215075,1761177
31,0,11025,48,36,925914,1785231
32,0,5289,27,36,1629876,1790763
33,0,3324,27,51,1327785,1780200
34,0,2277,51,51,1389666,1787055
35,0,1263,54,45,1625475,1808310
36,0,825,36,75,1489068,1849464
37,0,687,45,78,969336,1867011
38,0,507,63,78,1611351,1865868
39,0,369,72,69,1418748,1807878
40,0,312,45,72,694302,1714512
41,0,195,54,72,1462740,1659330
42,0,129,66,84,1576770,1600275
43,0,54,75,75,655836,1514694
44,0,51,39,72,1343052,1448925
45,0,15,63,81,1633728,1404924
46,0,33,72,87,787029,1347213
47,0,33,81,81,1311210,1290522
48,0,27,72,72,1662399,1269336
49,0,36,96,90,896190,1213398
50,0,15,66,72,1111536,1174377
51,0,21,72,81,1585560,1119864
52,0,24,63,66,975246,1074654
53,0,18,96,69,991380,1046268
54,0,15,54,72,1371612,988029
55,0,12,69,60,860760,942123
56,0,9,57,66,794673,903243
57,0,12,96,57,1301499,865761
58,0,24,51,42,698415,813696
59,0,18,60,54,659379,781101
60,0,27,54,48,1220334,729108
61,0,0,90,42,941328,677673
62,0,0,39,48,538935,628950
63,0,0,39,39,1131384,583038
64,0,0,39,39,613191,557439
65,0,0,81,39,504012,528264
66,0,0,30,39,934740,489573
67,0,0,30,33,575835,446289
68,0,0,30,33,389133,425061
69,0,0,78,45,1004109,390333
70,0,0,24,42,620337,352449
71,0,0,24,42,333894,339396
72,0,0,21,42,829203,336807
73,0,0,75,60,606756,323103
74,0,0,15,30,208437,300447
75,0,0,24,30,723039,293172
76,0,0,24,48,591135,279204
77,0,0,84,33,130554,264036
78,0,0,18,30,656121,248319
79,0,0,18,30,563508,238200
80,0,0,18,27,79536,228234
81,0,0,84,18,556506,216732
82,0,0,12,51,507582,204627
83,0,0,12,3,53760,193278
84,0,0,12,3,523830,179496
85,0,0,48,9,489549,165843
86,0,0,81,12,39957,149388
87,0,0,0,12,465108,137745
88,0,0,0,15,450522,128181
89,0,0,0,6,34356,117075
90,0,0,0,9,469116,107751
91,0,0,0,12,467970,102933
92,0,0,0,15,30600,93933
93,0,0,0,3,351369,85593
94,0,0,0,15,373191,76275
95,0,0,0,12,15309,69426
96,0,0,0,18,293760,64230
97,0,0,0,30,316695,58320
98,0,0,0,36,12003,49488
99,0,0,0,57,218961,41382
100,0,0,0,48,267720,35994
101,0,0,0,48,9717,32973
102,0,0,0,48,189039,28857
103,0,0,0,51,229014,25905
104,0,0,0,42,6189,22257
105,0,0,0,33,155160,19854
106,0,0,0,21,210525,17883
107,0,0,0,12,3744,17091
108,0,0,66,0,106644,16059
109,0,0,96,0,165405,15120
110,0,0,87,0,2406,13203
111,0,0,78,0,92580,12636
112,0,0,69,0,118698,12492
113,0,0,60,0,1326,11490
114,0,0,51,0,76299,10125
115,0,0,42,0,125817,9852
116,0,0,33,0,714,8979
117,0,0,24,0,47022,8766
118,0,0,15,0,99576,8253
119,0,0,6,0,393,7938
120,0,0,3,0,39051,7263
121,0,0,0,0,56325,7146
122,0,0,0,0,213,6747
123,0,0,0,0,29328,6198
124,0,0,0,0,41781,6315
125,0,0,0,0,165,5778
126,0,0,0,0,21591,5436
127,0,0,0,0,51783,4740
128,0,0,0,0,36,5277
129,0,0,0,0,17580,4815
130,0,0,0,0,24492,4491
131,0,0,0,0,9,3849
132,0,0,0,0,14661,3525
133,0,0,0,0,24096,2724
134,0,0,0,0,3,2637
135,0,0,0,0,11637,2496
136,0,0,0,0,22662,2169
137,0,0,0,0,3,2127
138,0,0,0,0,9042,1962
139,0,0,0,0,12093,1401
140,0,0,0,0,0,1707
141,0,0,0,0,7266,1374
142,0,0,0,0,11412,1005
143,0,0,0,0,0,1116
144,0,0,0,0,5427,1071
145,0,0,0,0,9261,948
146,0,0,0,0,0,1032
147,0,0,0,0,3651,891
148,0,0,0,0,6819,723
149,0,0,0,0,0,552
150,0,0,0,0,2241,555
151,0,0,0,0,4287,357
152,0,0,0,0,0,381
153,0,0,0,0,1728,111
154,0,0,0,0,3120,180
155,0,0,0,0,0,180
156,0,0,0,0,1362,63
157,0,0,0,0,2517,36
158,0,0,0,0,0,93
159,0,0,0,0,594,105
160,0,0,0,0,2457,30
161,0,0,0,0,0,84
162,0,0,0,0,156,12
163,0,0,0,0,792,36
164,0,0,0,0,0,30
165,0,0,0,0,102,81
166,0,0,0,0,564,0
168,0,0,0,0,48,0
169,0,0,0,0,396,0
171,0,0,0,0,24,0
172,0,0,0,0,264,0
174,0,0,0,0,12,0
175,0,0,0,0,168,0
178,0,0,0,0,84,0
